cod_municipio,municipio,cod_depto,poblacion_total,pob_urbana,pob_rural,pct_urbano,area_km2,densidad_hab_km2,ipm_municipal,priv_hacinamiento,priv_agua,priv_salud,priv_trabajo_informal,tasa_kg_hab_dia,kg_residuos_dia,ton_residuos_dia,pct_reciclable,kg_reciclables_dia,cobertura_recoleccion_pct,dist_centro_acopio_km,centros_acopio_existentes,acceso_vial,necesita_centro_acopio,potencial_reciclaje_kg_mes,label_clase
5001,MEDELLÍN,5,32665,26925,5740,82.4,1703.9,19.17,12.8,5.4,1.5,15.9,71.0,0.638,20829.0,20.829,20.4,4246.0,73.6,6.21,1,2,0,127380.0,No prioritario
5002,ABEJORRAL,5,10416,5363,5053,51.5,277.3,37.56,40.6,5.2,32.3,8.8,87.5,0.57,5939.0,5.939,14.7,870.0,43.0,21.37,0,3,1,26100.0,Prioritario
5004,ABRIAQUÍ,5,42866,33087,9779,77.2,83.2,515.11,34.8,5.4,34.4,11.7,87.6,0.691,29611.0,29.611,18.4,5450.0,64.2,19.5,1,3,0,163500.0,No prioritario
5021,ALEJANDRÍA,5,207202,117461,89741,56.7,49.6,4178.99,31.9,4.1,26.8,11.0,87.1,0.587,121678.0,121.678,12.3,14962.0,41.9,20.21,4,3,0,448860.0,No prioritario
5030,AMAGÁ,5,8765,6458,2307,73.7,195.0,44.95,22.9,4.8,4.6,14.1,69.5,0.639,5597.0,5.597,15.1,845.0,56.9,11.04,0,2,0,25350.0,No prioritario
5031,AMALFI,5,8765,4644,4121,53.0,739.5,11.85,43.3,6.3,36.4,12.1,86.4,0.466,4087.0,4.087,13.4,549.0,21.9,26.5,0,2,2,16470.0,Muy prioritario
5034,ANDES,5,229253,138530,90723,60.4,210.0,1091.86,40.1,5.0,28.3,12.7,87.2,0.708,162261.0,162.261,18.1,29390.0,41.5,21.22,1,3,0,881700.0,No prioritario
5036,ANGELÓPOLIS,5,53177,36803,16374,69.2,1500.2,35.45,30.7,5.6,10.8,11.1,74.0,0.771,41022.0,41.022,21.5,8801.0,51.4,20.23,0,2,1,264030.0,Prioritario
5038,ANGOSTURA,5,5738,3172,2566,55.3,42.9,133.79,53.8,7.4,26.1,9.4,87.0,0.437,2505.0,2.505,12.6,316.0,35.6,25.75,0,1,2,9480.0,Muy prioritario
5040,ANORÍ,5,35475,20006,15469,56.4,241.2,147.1,53.3,8.9,43.9,9.7,89.1,0.494,17513.0,17.513,18.4,3217.0,34.0,25.84,2,2,1,96510.0,Prioritario
5042,SANTA FÉ DE ANTIOQUIA,5,5801,4646,1155,80.1,54.4,106.55,29.7,9.7,9.2,12.7,81.9,0.648,3759.0,3.759,11.0,413.0,61.6,20.42,0,2,1,12390.0,Prioritario
